,Recipe_title,servings,ingredients,stars,Num_of_reviews
1795,Strawberry Lemon Semolina Shortcake,6 to 8 servings,"['5 ounces (1 1/4 sticks) butter', '7 ounces sugar (just under 1 cup)', '2 large eggs', '1 teaspoon vanilla extract', '1 lemon, zested', '1 cup cake flour, sifted', '1/3 cup fine semolina', '1/3 cup fine cornmeal', '1/4 teaspoon salt', '2 teaspoons baking soda', '1/2 cup sour cream', '1 cup lemon juice', '1/2 cup water', '1 cup sugar', '2 pints strawberries, cleaned and sliced 1/4-inch', '1/4 cup mint chiffonade, sliced 1/16-inch, save 8 little sprigs/leaves for garnish', '1/4 cup above glaze', '1/2 cup heavy cream, whipped to stiff peak']",,
1796,Banana Cupcake with Spiced White Chocolate Glaze,24 cupcakes,"['Nonstick cooking spray, for spraying liners', '1 2/3 cups cake flour\xa0', '1 teaspoon baking powder\xa0', '1/2 teaspoon baking soda\xa0', 'Pinch salt\xa0', '4 ounces (1 stick) unsalted butter, at room temperature\xa0', '1 1/4 cups sugar\xa0', '3 very ripe medium bananas (about 1 cup mashed)\xa0', '1 teaspoon vanilla extract\xa0', '2 eggs\xa0', '1/3 cup buttermilk\xa0', '2/3 cup heavy cream', '1/4 teaspoon anise', '1/4 teaspoon ground cardamom\xa0', '12 ounces white chocolate, finely chopped\xa0']",5,1
1797,Twinkle Tiramisu,6 to 8 servings,"['8 cream-filled sponge cakes (recommended: Twinkies)', '1 cup espresso or strong coffee, unsweetened', '1 1/2 cups heavy cream', '1/3 cup sugar', '2 (8 3/4-ounce) packages mascarpone cheese, at room temperature', 'Yellow food coloring', '10 vanilla wafers']",4.5,7
1798,"Chocolate ""Triumph of Gluttony"" Cake",10 to 12 servings,"['4 large eggs, separated', '1 teaspoon vanilla extract', '3/4 cup sugar, divided', '1/2 cup unbleached, all-purpose flour', '1/2 cup cornstarch', 'Pinch salt', '1 1/4 ups cream', '1 pound semisweet chocolate', '1 stick unsalted butter', '2 tablespoons maraschino cherry liquid', '2 cups unsalted, shelled pistachios', ""Confectioners' sugar for finishing"", '1/3 cup sugar', '1/3 cup water', '3 tablespoons maraschino cherry liquid']",,
1799,Grandma Elaine's Ice Box Cake,NA,"['3 boxes chocolate wafer cookies', '3 pints strawberries', '4 ripe bananas', '2 cans crushed pinapple', '1 quart heavy cream', '1/4 cup sugar', '1 tablespoon vanilla extract', 'Use a glass pyrex dish or brownie pan']",,
1800,Sweet Potato Cake with Coconut Filling and Caramel Frosting,12 servings,"['Vegetable cooking spray', 'All-purpose flour, for dusting pans', '1 cup butter, softened', '3 cups sugar', '6 large eggs, separated', '1 1/2 cups mashed cooked sweet potatoes', '1 cup sour cream', '1 tablespoon baking powder', '1 teaspoon vanilla extract', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/4 teaspoon salt', '1 cup chopped pecans', '3 cups all-purpose flour', 'Coconut Filling, recipe follows', 'Caramel Frosting, recipe follows', '1/4 cup sugar', '2 tablespoons cornstarch', '1/8 teaspoon salt', '1 cup milk', '1 large egg, lightly beaten', '1/2 cup frozen grated coconut, thawed', '1 teaspoon vanilla extract']",4,2
1801,Bittersweet Chocolate Cake with Chocolate Sauce and Toasted Almond Cream,6 servings,"['1/2 cup sugar plus 1 1/2 tablespoons', '3 ounces bittersweet chocolate, roughly chopped', '3 1/2 ounces unsweetened chocolate, roughly chopped', '9 tablespoons (1 stick plus 1 tablespoon) butter, cubed', '3 large eggs, at room temperature', '3 ounces bittersweet chocolate', '1/2 cup heavy cream', 'Cocoa powder, for garnish', 'Chocolate curls, for garnish', '2 cups heavy cream', '1 cup toasted almonds', '1 teaspoon vanilla extract']",4,2
1802,Apple Cake with Pale Ale Sabayon,NA,"['5 cups apples, any type, peeled, cored, and diced', '1/4 cup rum', '2 1/4 cups flour', '2 1/4 cups sugar', '2 teaspoons baking soda', '1/4 teaspoon salt', '1 tablespoon ground cinnamon', '1/2 teaspoon ground allspice', '1/2 teaspoon ground nutmeg', '3 large eggs', '2 teaspoons vanilla extract', '3/4 cup canola or vegetable oil', '2 cups walnuts, chopped', '5 large egg yolks', '1/2 cup pale ale', '1/3 cup sugar', '1/2 teaspoon vanilla extract']",,
1803,Hazelnut Boston Cream Cupcakes,12 cupcakes,"['em', 'Cupcakes:', '/em', '1 1/2 cups Pillsbury® Softasilk® Enriched &amp; Bleached Cake Flour', '1/4 cup finely ground hazelnuts', '1 1/2 tsps. baking powder', '1/2 tsp. salt', '1/2 cup butter, softened', '3/4 cup sugar', '1 tsp. vanilla extract', '3 large eggs', '1/2 cup milk', 'Filling:', '1 (4 serving size) pkg. instant French vanilla pudding &amp; pie filling mix', '1 1/2 cups half-and-half', 'Chocolate Hazelnut Ganache:', '3/4 cup Jif® Chocolate Flavored Hazelnut Spread', '1/3 cup white baking chips']",,
1804,Kardea's Peppermint Red Velvet Cheesecake ,12 servings,"['Nonstick cooking spray, for the pan', 'One 15.25-ounce box red velvet cake mix, plus necessary ingredients', 'Four 8-ounce packages cream cheese, at room temperature', '1 1/2 cups granulated sugar', '1 cup sour cream, at room temperature', '2 tablespoons cornstarch', '4 large eggs, at room temperature', '2 teaspoons peppermint extract', '1 teaspoon pure vanilla extract']",5,1
1805,Lemon Drizzle Cake,10 to 12 servings,"['Nonstick cooking spray, for the pan', ""3 1/4 cups all-purpose flour (see Cook's Note)\xa0"", '5 teaspoons baking powder\xa0', '1/4 teaspoon fine salt\xa0', '3 sticks (1 1/2 cups) unsalted butter, at room temperature\xa0', '1 1/2 cups granulated sugar\xa0', 'Zest of 3 lemons\xa0', '6 large eggs\xa0', '1/2 cup milk\xa0', '1 teaspoon pure vanilla extract\xa0', '4 ounces cream cheese, at room temperature', ""2 cups confectioners' sugar, sifted\xa0"", '2 to 3 tablespoons lemon juice\xa0']",1,2
1806,Frangipane Ripple Chocolate Pound Cake,NA,"['2 1/3 cups cake flour, plus more for the pan', '2 teaspoons baking powder', '1/4 teaspoon salt', '3/4 cup unsweetened Dutch-processed cocoa powder', '2 1/2 cups unsalted butter, room temperature, plus more for the pan', '2 cups sugar', '3 eggs, room temperature', '1 teaspoon pure vanilla extract', '1 cup whole milk, room temperature', 'Almond Paste Frangipane, recipe follows', 'Chocolate bow, garnish', '1/3 cup blanched almonds, sliced', '4 ounces almond paste', '1/4 cup sugar', '1 egg', '4 tablespoons unsalted butter, room temperature', '4-ounces milk chocolate', '2 tablespoons light corn syrup']",,
1807,Apricot Crumbcake,NA,"['1 stick unsalted butter, softened', '3/4 cup sugar', '1 teaspoon vanilla extract', '1 egg', '3 egg yolks', '1 1/4 cup unbleached all-purpose flour', '1 teaspoon baking powder', '8 pitted and quartered apricots', '1 1/4 cups unbleached all-purpose flour', '1/3 cup sugar', '1/4 teaspoon cinnamon', '1 stick unsalted butter, melted']",,
1808,Witch's House,15-20 servings,"['1 1/2 cups butter, softened', '3 cups sugar', '6 eggs', '6 ounces unsweetened chocolate, melted', '3 teaspoons vanilla extract', '3 cups milk', '5 1/4 cups all purpose flour', '4 1/2 teaspoons baking soda', '1 1/2 teaspoons salt', '2 cups unsalted butter, softened', '2 teaspoons vanilla extract', '4 ounces unsweetened chocolate, melted', ""6 cups confectioners' sugar"", '2/3 cup cocoa powder', '4 to 6 tablespoons milk', 'Orange frosting', 'Green gumdrops', 'Chocolate graham crackers', 'Chocolate ice cream cones', 'Regular and chocolate peanut butter sandwich cookies', 'Black licorice twists', ""Chocolate kisses (recommended: Hershey's)"", 'Mini chocolate chips', 'Green hard candies', 'Black shoestring licorice', 'Mini marshmallows', 'Chocolate covered raisins']",5,3
1809,Souffle a la Fraise (Strawberry Souffle),6 servings,"['1 cup frozen strawberries', '1 cup water', '1 cup sugar', '4 drops vanilla extract', '2 cups milk', '3 egg yolks', '1 tablespoon flour', '1 tablespoon cornstarch', '1/2 cup granulated sugar', '3 egg whites', '1 pinch salt', '1 cup cubed sponge cake', '6 fresh strawberries', '6 mint leaves']",3,1
1810,Melon and Apple Berry Crumble,6 servings,"['4 large Granny Smith apples - peeled, cored and roughly chopped', '3 tablespoons superfine sugar', '2 cups granola cereal', '2 cups pound cake or angel food cake, crumbled', '1/4 cup all-purpose flour', '1/3 cup brown sugar', '1/4 teaspoon ground cinnamon', '5 tablespoons butter, chopped into chunks and softened', '1 small honeydew melon, rind and seeds removed, and diced small', '1 cup fresh berries (blackberries, raspberries or blueberries)', '1 lemon, juiced', '1 pint vanilla ice cream']",,
1811,Ladybug Cupcakes,12 servings,"['1 1/4 cups sifted cake flour', '1/2 teaspoon baking soda', '1/4 teaspoon baking powder', '1/4 teaspoon salt', '8 tablespoons (1 stick) cool unsalted butter, cut into pieces', '1/2 cup plus 2 tablespoons sugar', '2 eggs', '1 teaspoon pure vanilla extract', '1/2 cup sour cream', '1 cups milk', '2 tablespoons all-purpose flour', '8 ounces (2 sticks) room temperature', ""1 cup confectioners' sugar"", '1 teaspoon pure vanilla extract', 'Yellow and red food coloring', '12 (1 1/2-inch) lengths black licorice whips, cut in thin tapered strips', '1 tube black icing (the supermarket kind with a small writing tip)', '1 tube white icing (the supermarket kind with a small writing tip)', '12 red candy coated chocolate candies']",4.5,6
1812,Strawberry Rhubarb Zinfandel Crepes,8 servings,"['About 3 ounces (85 grams) cake flour', 'About 3 ounces (85 grams) bread flour', 'About 1.5 ounces (43 grams) sugar', '1 teaspoon salt', '3 eggs', '3 egg yolks', '1 1/2 cups milk', 'About 3 ounces (85 grams) melted butter', '3 pints strawberries, hulled', 'About 7 ounces (187 grams) sugar', '1/2 whole nutmeg, crushed', 'About 11 ounces (300 ml) Zinfandel', 'About 6 cups (1.5 liter) water', 'About 7 ounces (75 g) fresh ginger', '1 vanilla bean, split', '1.5 pounds rhubarb, cut into large chunks', 'About 7 ounces (200 grams) sugar', '1/2 pound butter, room temperature', '1/4 cup rhubarb syrup', '3 pints strawberries, hulled and quartered', 'Some rhubarb butter', '2 tablespoons vanilla sugar', 'Raspberry vinegar', 'Vanilla sugar', 'Crushed pink peppercorns', 'Ice cream']",,
1813,Extreme Chocolate Cheesecake,6 to 8 servings,"['2 1/2 cups chocolate cookie crumbs', '2 tablespoons chocolate sugar (Chocolate sugar is sugar stored in an airtight container for at least 3 months with cocoa beans. Discard beans when using sugar.)', '6 to 8 tablespoons butter, melted', '20 ounce cream cheese, room temperature', '1 cup chocolate sugar', '3 eggs, room temperature', '8 ounces milk chocolate chips, melted', '1 tablespoon vanilla', '1/4 cup sweetened condensed milk', '2 tablespoons all-purpose flour', '2 tablespoons cornstarch', '20 ounces cream cheese, room temperature', '1 cup chocolate sugar', '3 eggs', '8 ounces white chocolate chips, melted', '1 tablespoon vanilla', '1/4 cup sweetened condensed milk', '2 tablespoons flour', '2 tablespoons cornstarch', '1 store-bought fudge cake mix']",5,20
1814,Creme Chatelaine,6 servings,"['5 egg yolks', '1 3/8 cups superfine sugar', '1/2 teaspoon grated lemon zest', '5 egg whites', '1 teaspoon vanilla', '1 1/4 cups flour, sifted', '1/2 cup creme de cacao', '1/2 cup rum', '6 egg yolks', '4 tablespoons superfine sugar', '4 teaspoons water', '1 cup marsala', '1/2 teaspoon almond extract', '1 1/2 cups heavy cream, whipped', '4 marrons glace']",,
1815,Vanilla Butter Cake and Swiss Buttercream,6 to 8 servings,"['3/4 cup unsalted butter, room temperature', '1 1/4 cups sugar', '1/4 teaspoon salt', '1 teaspoon vanilla paste', '8 egg yolks, room temperature', '3 teaspoons baking flour', '1 1/4 cups all-purpose flour', '3/4 cup milk', 'Swiss Buttercream, recipe follows', '24 egg whites', '6 cups sugar', '2 tablespoons vanilla bean paste', '14 cups butter']",2,2
1816,Citrus Angel Food with Peaches,8 servings,"['Cake:', '1 1/4 cups (250 g) granulated sugar', ""1/2 cup (50 g) confectioners\\' sugar (powdered sugar)"", '2 tablespoons cornstarch', '1 cup cake flour, sifted', '1 teaspoon salt', '12 egg whites, at room temperature', '1/3 cup fresh lemon juice', '2 teaspoons lemon and/or orange zest', '1 teaspoon cream of tartar', '1 teaspoon orange extract (not oil)', 'Peaches:', '10 medium-sized ripe peaches', '1/4 cup honey', '1 vanilla bean, split and scraped']",,
1817,Strawberry Almond Tarts,NA,"['1 stick unsalted butter', '1/4 cup sugar', '1 teaspoon vanilla extract', '1 egg yolk', '1 1/4 cups cake flour', '1/2 pound almond paste', '1/3 cup sugar', '1 egg yolk', '1 teaspoon grated lemon zest', '1/2 stick soft butter', '2 eggs', '1/4 cup all-purpose flour', '1 pint strawberries, rinsed, hulled and sliced', '1/2 cup sliced almonds', ""Whole berries and confectioners' sugar for finishing""]",4,1
1818,Snow Bunny Cupcake,1 cupcake,"['1 vanilla cupcake, recipe follows', 'About 1 cup White Fluff Frosting, recipe follows', '1 white snowball snack cake', '2 regular marshmallows', 'Shredded coconut', '2 pretzel sticks', '2 pink candy eyes', '1 pink jelly bean', '4 mini marshmallows', '1 small dot of black string licorice', '4 small pieces red sour straws', '2 2/3 cups sugar', '1 cup (2 sticks) unsalted butter, cut into 1-inch pieces', '2 large eggs', '2 large egg yolks', '2/3 cup milk', '2/3 cup water', '2 1/2 teaspoons pure vanilla extract', '2 2/3 cups all-purpose flour', '1 1/3 cups cake flour', '4 teaspoons baking powder', '1/2 teaspoon fine salt']",4,5
1819,Sugar Cookies,20 servings,"['8 ounces butter, plus more for greasing', '2 cups sugar\\xa0', '1 tablespoon vanilla extract', '2 eggs\\xa0', '1 cup sour cream\\xa0', '5 1/2 cups all-purpose flour\\xa0', '2 teaspoons baking soda\\xa0', '1 teaspoon salt\\xa0']",,
1820,Chocolate Pudding with Candy Roses,3 to 5 servings,"['1/3 cup cocoa powder', '1/4 teaspoon salt', '1/2 cup sugar', '1/3 cup cornstarch, sifted', '1 vanilla bean', '4 cups half-and-half', '2 ounces chocolate (recommended: Manjari)', '3 eggs', '1 3/4 cups sugar', '1 teaspoon vanilla extract', '1 cup mayonnaise', '2 3/4 cups pastry flour, sifted', '1 1/8 teaspoons baking soda, sifted', '1/2 teaspoon baking powder, sifted', '3/4 cup cocoa powder, sifted', '1/2 teaspoon salt, sifted', '1 cup water', '10 rose petals', '2 egg whites', '1/2 cup granulated sugar', 'Whipped cream, for serving']",,
1821,Pecan Pie Filling,16 to 20 servings,"['6 eggs', '1/2 cup sugar', '1/2 cup flour', '4 cups dark corn syrup', '1 1/2 teaspoons pure vanilla extract', '1/2 teaspoon kosher salt', '2 cups chopped pecans', 'Pie Crust, recipe follows', '1 cup unsalted butter', '1 cup solid vegetable shortening', '4 cups cake flour', '2 cups all-purpose flour', '1/2 cup sugar', '3 teaspoons kosher salt', '1/4 to 1/2 cup cold water']",3,1
1822,Sticky Date Toffee Pudding,16 servings,"['500 grams (17 2/3 ounces) dates, pitted and chopped', '20 grams (2/3 ounce) baking soda\xa0', '250 grams (8 3/4 ounces) granulated sugar\xa0', '230 grams (8 1/8 ounces) unsalted butter', '3 eggs', '750 grams (26 1/2 ounces) all-purpose flour\xa0', '20 grams (2/3 ounce) baking powder\xa0', '700 grams (24 2/3 ounces) brown sugar', '300 grams (10 1/2 ounces) heavy cream\xa0', '250 grams (8 3/4 ounces) unsalted butter\xa0', '200 grams (7 ounces) bourbon\xa0', '1 vanilla bean, split and scraped']",,
1823,Rainbow Cookies,75 to 80 cookies,"['2 sticks (8 ounces) unsalted butter, plus more for greasing', '8 ounces almond paste', '1 cup sugar', 'Zest of 1 orange', 'Seeds of 1 vanilla bean', '5 large eggs, separated', '2 cups all-purpose flour', '1/2 teaspoon fine salt', 'About 20 drops red food coloring', 'About 20 drops green food coloring', 'Cherry jelly or preserves, for topping cake layer', 'Apricot jam, for topping cake layer', '9 ounces semisweet chocolate, finely chopped', '1 1/2 teaspoons honey', '1 cup heavy cream', '6 tablespoons (3 ounces) unsalted butter']",,
1824,Vanilla Velvet/Chocolate Cake,2 (9-inch) pans,"['12 ounces cake flour', '1 1/2 tablespoons baking powder', '1 teaspoon salt', '10 ounces sugar', '4 egg whites', '9 ounces milk', '2 3/4 teaspoons vanilla extract', '6 ounces butter, softened', '3/4 cup cocoa powder', '2 1/2 cups cake flour', '1 3/4 cups sugar', '1 1/2 tablespoons baking powder', '1 teaspoon salt', '1 1/4 cups water', '4 eggs', '2 1/2 teaspoons vanilla extract', '1 1/4 cups butter, softened']",2.5,4
1825,Sesame Chestnut Mountain Cupcakes (Chestnut Caramel Cake with Black Sesame Cream and Chestnut Cream Frosting with Black and White Sesame Chopsticks),12 cupcakes,"['5 ounces unsalted butter, at room temperature', '3.5 ounces brown sugar (about 1/2 cup)', '3.5 ounces granulated cane sugar (about 1/2 cup)', '7.5 ounces all-purpose flour (about 1 3/4 cups)', '2 ounces chestnut flour (about 3/4 cup)', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1/4 teaspoon salt', '2 eggs', '1 teaspoon vanilla extract', '9 ounces Caramel, recipe follows (about 1 cup)', '10 ounces sour cream (about 1 1/4 cup)', 'Black Sesame Pastry Cream, recipe follows', 'Chestnut Cream Frosting, recipe follows', 'Black and White Sesame Chopsticks, recipe follows', '7 ounces granulated cane sugar (about 1 cup)', '1 1/2 cups heavy cream', 'Juice of 1 lemon, optional', '1 cup whole milk', '3 egg yolks', '2 ounces granulated cane sugar (about 1/4 cup)', '0.5 ounce cornstarch, sifted (about 2 tablespoons)', '1 teaspoon pure vanilla extract', '1 ounce butter, at room temperature (about 2 tablespoons)', '6 ounces tahini (about 1/2 cup)', '2 tablespoons black sesame powder']",,
1826,Gingerbread Cupcakes with Pumpkin Cream Cheese Frosting,8 to 10 cupcakes,"['1 box prepared gingerbread mix, prepared to package directions for cake', '8 ounces cream cheese, softened', '1/2 cup canned pumpkin puree', '1/4 teaspoon grated nutmeg', '1 orange, zested', '1/2 teaspoon vanilla extract', ""3 1/2 cups powdered confectioners\\' sugar"", 'Shaved crystalized ginger, for garnish']",3.5,16
1827,Scooped Out Cupcake Tarts,30 servings,"['3 cups cake flour', '3/4 teaspoon baking soda', '3/4 teaspoon salt', '1 1/2 teaspoons baking powder', '3 sticks butter, room temperature', '2 1/3 cups sugar', '3 large egg whites', '2 teaspoons vanilla extract', '1 1/2 cups buttermilk, room temperature', 'Sweetened whipped cream, for topping', 'Seasonal fruit, for topping', 'Mint sprigs, for garnish']",4.5,35
1828,Banana Cake with Carmelized Bananas and Chocolate Sorbet,NA,"['2 cups cake flour', '1/2 cup cornstarch', '1 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon cinnamon', '3 large overripe bananas', '1 2/3 cups sugar', '2 large eggs', '1 teaspoon vanilla', '1 tablespoon golden rum', '1/2 cup low-fat plain yogurt', '2 cups cake flour', '1/2 cup cornstarch', '1 teaspoon baking soda', '1 teaspoon salt', '1 teaspoon cinnamon', '3 large overripe bananas', '1 2/3 cups sugar', '2 large eggs', '1 teaspoon vanilla', '1 tablespoon golden rum', '1/2 cup low-fat plain yogurt', '2 1/2 cups water', '1 cup sugar', '1/2 cup unsweetened cocoa', '1/4-ounce bittersweet chocolate', '1 tablespoon golden rum', '2 1/2 cups water', '1 cup sugar', '1/2 cup unsweetened cocoa', '1/4-ounce bittersweet chocolate', '1 tablespoon golden rum', '1 ripe banana, sliced thin', '1/4 cup sugar', '1/4 cup sliced almonds, toasted', '1 ripe banana, sliced thin', '1/4 cup sugar', '1/4 cup sliced almonds, toasted']",,
1829,Harvest Walnut Cookies,about 6 dozen cookies,"['1 (18.25-ounce) box white cake mix', '1/3 cup vegetable oil', '4 tablespoons butter, melted', '1 egg, beaten to blend', '1 teaspoon pure vanilla extract', '3/4 cup chopped walnuts, lightly toasted', ""1 (18.25-ounce) box devil's food cake mix"", '1/3 cup vegetable oil', '4 tablespoons butter, melted', '1 egg, beaten to blend', '2 teaspoons pure vanilla extract', '3/4 cup chopped walnuts, lightly toasted']",4,46
1830,Chocolate Angel Food and Raspberry Parfait,4 servings,"['1 cup very cold heavy cream', '3 tablespoons granulated sugar', '3 tablespoons best quality cocoa powder', '1 teaspoon vanilla extract', '1 store-bought chocolate angel food cake, cut into cubes', '1/4 cup framboise (raspberry liqueur)', '1 pint fresh raspberries', 'Grated bittersweet chocolate']",,
1831,Leaf Sugar Cookies,24 to 36 sugar cookies,"['2 1/2 cups cake flour (not self-rising), plus more for dusting', '1 teaspoon baking powder', '1/4 teaspoon salt', '2 sticks unsalted butter, at room temperature', '3/4 cup sugar', '1 large egg', '1 teaspoon pure vanilla extract Royal icing, for decorating']",4,2
1832,Fondant Glazed Petit Fours,40 servings,"['4 egg whites', '8 tablespoons (1 stick) unsalted butter, at room temperature', '1 cup sugar', '1/2 teaspoon pure vanilla extract', '1/2 teaspoon pure almond extract', '2 cups sifted cake flour', '1 tablespoon baking powder', '2/3 cup milk, at room temperature', '2/3 cup corn syrup', '2/3 cup hot water', '7 cups powdered sugar', '6 drops lemon extract', 'Food coloring', '2 ounces semisweet chocolate, melted', 'Silver dragee']",,
1833,Cherry and Apricot Cobblers,NA,"['3 cups self-rising cake flour', '1 1/2 sticks unsalted butter', '1 cup buttermilk, milk or heavy cream', '3 pounds fresh apricots, rinsed, halved, pitted and sliced', '1 1/2 pounds fresh cherries, sour if possible, rinsed and pitted', '3/4 cup sugar', '3 tablespoons butter', '1/2 teaspoon almond extract', 'Buttermilk and sugar for finishing']",5,1
1834,Pecan-Yogurt Apple Cake with Star Anise Caramel Sauce,8 servings,"['3/4 cup (6 ounces) unsalted butter', '3/4 cup sugar', '5 golden delicious apples, peeled, cored and quartered', '2/3 cup chopped pecans', '1 cup all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon salt', '1/2 teaspoon five spice powder', '3/8 cup (3 ounces) unsalted butter', '1/2 cup sugar', '1 teaspoon pure vanilla extract', '2 tablespoons minced ginger', '2 large eggs', '1/2 cup yogurt', '2 star anise', '1/2 cup calvados', '2 cups sugar', '1/2 cup water', '1/4 cup heavy cream']",5,1
1835,Red Velvet Gems,Yield: 4 1/2 dozen cookies or 27 sandwiches,"['1/2 cup sifted powdered sugar', '3/4 cup almond flour', '1 tablespoon unsweetened cocoa powder', 'Pinch fine salt', '2 large egg whites', '1 teaspoon red food coloring', '2 teaspoons granulated sugar', '4 ounces cream cheese, room temperature', '2 tablespoons unsalted butter, room temperature', '1/2 teaspoon vanilla extract', '3/4 cup plus 2 tablespoons sifted powdered sugar']",,
1836,Homemade Pineapple Upside-Down Sundae,8 servings,"['3 cups heavy cream', '1 cup whole milk', '3/4 cup sugar', '1 tablespoon pure vanilla extract', 'Kosher salt', '5 large egg yolks', 'Pineapple Swirl:', '1/2 cup heavy cream', '4 tablespoons unsalted butter, cubed', '1/2 cup sugar', '1/4 cup light corn syrup', 'One 8-ounce can crushed pineapple in juice', '8 slices pound cake (1/2 inch thick)', '8 slices canned pineapple', 'Whipped cream, for serving', '8 cherries with stems']",,
1837,Devil's Peaks with Milk and White Chocolate,12 cones,"['Paper cone cups', '1/2 cup (1 stick) unsalted butter, softened at room temperature', '1 1/2 cups light brown sugar, packed', '2 eggs', '1 teaspoons pure vanilla extract', '6 tablespoons unsweetened cocoa powder, Dutch-process', '1 1/2 teaspoons baking soda', '1/4 teaspoon salt', '1 1/2 cups sifted cake flour', '2/3 cups sour cream', '3/4 cups hot coffee', '4 ounces milk chocolate, melted over hot water', '4 ounces white chocolate, melted over hot water']",3,1
1838,Cherry Pistachio Fudge Pops,24 pops,"['8 ounces cream cheese, at room temperature', ""3 cups confectioners\\' sugar\\xa0"", '1 teaspoon pistachio flavoring or extract\\xa0', '1/2 teaspoon vanilla extract\\xa0', '1/8 teaspoon (4 drops) green food coloring', '2 1/2 cups white chocolate chips\\xa0', '1/4 cup solid vegetable shortening\\xa0', '1/2 cup chopped pistachios', '1/2 cup chopped dried cherries\\xa0', 'Nonstick cooking spray']",5,1
1839,Pink Piggy Cupcakes,12 servings,"['1 1/4 cups cake flour', '1/4 cup cocoa powder', '1/2 teaspoon baking soda', '1/2 teaspoon baking powder', '1/2 teaspoon salt', '1 stick unsalted butter, softened', '3/4 cup sugar', '2 eggs', '1/3 cup vegetable oil', '1/2 cup buttermilk', '1 teaspoon white vinegar', '1 teaspoon vanilla extract', '1-ounce red food coloring gel']",4.5,19
1840,Fruitcake Cookie Sandwiches,10 servings,"['8 ounces butter, plus more for greasing', '1 cup brown sugar\xa0', '1 cup granulated sugar\xa0', '1 teaspoon vanilla extract', '2 eggs\xa0', '2 cups all-purpose flour\xa0', '1 teaspoon baking powder\xa0', '1 teaspoon baking soda\xa0', '1 teaspoon ground cinnamon\xa0', '1 teaspoon ground ginger\xa0', '1/2 teaspoon salt\xa0', '2 cups rolled oats\xa0', '1 1/4 cups julienned apples', '1/4 cup dried cherries, soaked in rum overnight\xa0', '1/4 cup dates, soaked in rum overnight', '8 ounces cream cheese, at room temperature', '4 ounces butter, at room temperature', ""1/2 cup confectioners' sugar\xa0""]",,
1841,Chocolate Diamonds,85 cookies,"['1 pound plus 3 1/2 tablespoons butter', '2 1/2 cups sugar', '1 vanilla bean', '1/4 cup cocoa powder', '6 cups cake flour', '1 teaspoon cinnamon']",,
1842,Pink Grapefruit Cupcakes with Guava Truffle Cookies and Rosewater Frosting,about 55 mini cupcakes,"['1 3/4 cups cake flour', '1 3/4 teaspoons baking powder', '1/2 teaspoon salt', '5 tablespoons butter, cubed', '1 1/4 cups sugar', '2 extra-large whole eggs', '3 large egg yolks', '1 1/2 teaspoons grapefruit oil', '3 tablespoons grapefruit zest', '1/4 cup vegetable oil', '1/3 cup grapefruit juice', 'Guava Truffle Cookies, recipe follows', 'Rosewater Frosting, recipe follows', '2 1/2 cups vanilla sandwich wafer cookies, finely ground', '1/8 teaspoon salt', '6 tablespoons unsalted butter, melted', '3 teaspoons guava extract, divided', '2 cups white chocolate chips', '1/4 (14-ounce) can condensed milk']",5,1
1843,Raspberry Porter Trifle with Chocolate Ganache and Whipped Cream,4 servings,"['1 (3-ounce) package raspberry gelatin', '1 to 2 tablespoons sugar', '1 cup boiling water', '1/4 cup ice water', '1/2 cup porter', '1/2 cup milk', '1/2 cup heavy cream', '1 vanilla bean, or vanilla extract, to taste (approximately 3 tablespoons)', '1/4 cup sugar', '4 egg yolks', '1 (29 to 32-ounce) can fruit cocktail, drained', '1 (12-ounce) pound cake, thawed and cut into 3/4-inch cubes (recommended: Sara Lee)', '2 bananas, sliced and tossed with lemon juice', '4 ounces semisweet chocolate pieces or chocolate squares, finely chopped', '2/3 cup heavy cream', '1/2 cup heavy cream whipped until light and fluffy with an electric beater']",5,1
1844,Sweet Snackadium,14 to 16 servings,"['One 15.25-ounce box yellow or chocolate cake mix, plus ingredients on the box', 'Taffy, in preferred color, for making the flags', 'Two 16-ounce containers vanilla frosting\xa0', '2 cups sweetened shredded coconut\xa0', '1/4 teaspoon green food coloring', 'White taffy, such as Airheads Mystery Flavor, for making the yard lines', 'Nonstick cooking spray, for the baking sheet', '6 tablespoons unsalted butter', 'Two 10-ounce bags mini marshmallows', '12 cups puffed rice cereal', 'Vanilla frosting, for piping', '30 vanilla wafer cookies, 10 halved lengthwise', '1 package edible dot candies', '1 package thin pretzel sticks', '1 cup yellow chocolate melting wafers', '22 gummy bears, 11 in one color, 11 in a second color', '1 piece white taffy', '1 chocolate-covered almond\xa0']",4,3
1845,Lemon Sugar Cookie Snowflakes,25 to 30 servings,"[""3 cups confectioners' sugar"", '2 cups salted butter, at room temperature', '1 tablespoon lemon extract', '1 tablespoon pure vanilla extract', '2 eggs\xa0', '5 cups all-purpose flour, sifted\xa0', '3 tablespoons Meyer lemon zest', '1 to 2 pounds pure white modeling chocolate, such as Sweetastic', 'Serving suggestions: nonpareils, sanding sugar, crystal sugar or other decorations', '1/2 cup light corn syrup', '1 teaspoon almond extract\xa0']",,
